"ves_id","type"
"56d83489e4b01c7098934f46",NA
"56d83489e4b01c7098934f48","Bulk Carrier"
"56d83489e4b01c7098934f4b",NA
"56d83489e4b01c7098934f4f","Fishing Vessel"
"56d83489e4b01c7098934f50","Bulk Carrier"
"56d83489e4b01c7098934f51","Bulk Carrier"
"56d83489e4b025a920ad5e6e","Bulk Carrier"
"56d83489e4b02a0dec522fa5",NA
"56d83489e4b02a0dec522faf","Bulk Carrier"
"56d83489e4b02c65b7730d72","Container Vessel"
"56d83489e4b02c65b7730d74",NA
"56d83489e4b02c65b7730d76","Bulk Carrier"
"56d83489e4b02c65b7730d77","Bulk Carrier"
"56d83489e4b0581dc93c9211","Container Vessel"
"56d83489e4b0ad1bfa26097a","Bulk Carrier"
"56d83489e4b0ad1bfa26097c",NA
"56d83489e4b0ad1bfa26097e","Bulk Carrier"
"56d83489e4b0c8d95c300904",NA
"56d83489e4b0c8d95c300907","Container Vessel"
"56d83489e4b0c8d95c30090c",NA
"56d83489e4b0d51bec82d97b","Reefer"
"56d83489e4b0d51bec82d97e","Tug"
"56d83489e4b0d51bec82d981","Oil Tanker"
"56d83489e4b0d51bec82d982",NA
"56d83489e4b0e0f437f37e80",NA
"56d83489e4b0e0f437f37e83","Passenger Vessel"
"56d83489e4b0e0f437f37e87","Container Vessel"
"56d83489e4b0e0f437f37e88","Tug"
"56d8348ae4b00146513f8f01","Bulk Carrier"
"56d8348ae4b00146513f8f05","Container Vessel"
"56d8348ae4b00146513f8f07","Bulk Carrier"
"56d8348ae4b00146513f8f09",NA
"56d8348ae4b00146513f8f0d",NA
"56d8348ae4b002eabab57e9e","Oil Tanker"
"56d8348ae4b002eabab57ea1","Container Vessel"
"56d8348ae4b002eabab57ea3","Tug"
"56d8348ae4b002eabab57ea6",NA
"56d8348ae4b002eabab57ea9","Bulk Carrier"
"56d8348ae4b002eabab57ead",NA
"56d8348ae4b002eabab57eaf","Bulk Carrier"
"56d8348ae4b002eabab57eb0","Container Vessel"
"56d8348ae4b002eabab57eb2","Oil Tanker"
"56d8348ae4b013a6a061f9cf","Bulk Carrier"
"56d8348ae4b013a6a061f9db",NA
"56d8348ae4b013a6a061f9de","Bulk Carrier"
"56d8348ae4b013a6a061f9df",NA
"56d8348ae4b013a6a061f9e0","Bulk Carrier"
"56d8348ae4b013a6a061f9e4",NA
"56d8348ae4b0191ec59e7fdf","Bulk Carrier"
"56d8348ae4b0191ec59e7fe0","Oil Tanker"
"56d8348ae4b0191ec59e7fe3","Bulk Carrier"
"56d8348ae4b0191ec59e7fe6",NA
"56d8348ae4b01c7098934f54","Oil Tanker"
"56d8348ae4b01c7098934f57","Bulk Carrier"
"56d8348ae4b01c7098934f58","Bulk Carrier"
"56d8348ae4b01c7098934f5a","Oil Tanker"
"56d8348ae4b01c7098934f5c","Passenger Vessel"
"56d8348ae4b01c7098934f5e","Bulk Carrier"
"56d8348ae4b01c7098934f66","Container Vessel"
"56d8348ae4b01c7098934f6a","Container Vessel"
"56d8348ae4b01ce41c246658",NA
"56d8348ae4b01ce41c24665d","Fishing Vessel"
"56d8348ae4b02098f6e2d2d5",NA
"56d8348ae4b02098f6e2d2d6","Tug"
"56d8348ae4b02098f6e2d2d8","Tug"
"56d8348ae4b02098f6e2d2dc","Bulk Carrier"
"56d8348ae4b02098f6e2d2dd",NA
"56d8348ae4b02098f6e2d2de","Oil Tanker"
"56d8348ae4b025a920ad5e72","Container Vessel"
"56d8348ae4b025a920ad5e73","Oil Tanker"
"56d8348ae4b025a920ad5e76","Container Vessel"
"56d8348ae4b025a920ad5e79","Fishing Vessel"
"56d8348ae4b025a920ad5e81",NA
"56d8348ae4b025a920ad5e8b",NA
"56d8348ae4b025a920ad5e8c","Reefer"
"56d8348ae4b026569c5ac89a","Fishing Vessel"
"56d8348ae4b026569c5ac8a1","Fishing Vessel"
"56d8348ae4b0271c9aa37071","Tug"
"56d8348ae4b02a0dec522fb8",NA
"56d8348ae4b02a0dec522fb9",NA
"56d8348ae4b02a0dec522fbb","Tug"
"56d8348ae4b02a0dec522fc1",NA
"56d8348ae4b02a0dec522fc8","Oil Tanker"
"56d8348ae4b02a0dec522fc9",NA
"56d8348ae4b02a0dec522fcb","Fishing Vessel"
"56d8348ae4b02a0dec522fce","Tug"
"56d8348ae4b02a0dec522fd0","Container Vessel"
"56d8348ae4b02a0dec522fd4","Bulk Carrier"
"56d8348ae4b02a0dec522fd5",NA
"56d8348ae4b02a0dec522fd6","Oil Tanker"
"56d8348ae4b02c65b7730d7d","Container Vessel"
"56d8348ae4b02c65b7730d7e","Oil Tanker"
"56d8348ae4b02c65b7730d8d",NA
"56d8348ae4b02c65b7730d93","Bulk Carrier"
"56d8348ae4b02c65b7730d95",NA
"56d8348ae4b02c65b7730d96",NA
"56d8348ae4b02c65b7730d9b",NA
"56d8348ae4b0365aa1132cbe","Container Vessel"
"56d8348ae4b0365aa1132cc5","Bulk Carrier"
"56d8348ae4b0365aa1132cc6","Reefer"
"56d8348ae4b0365aa1132cc7","Container Vessel"
"56d8348ae4b0365aa1132cc8",NA
"56d8348ae4b0426087e0eb58",NA
"56d8348ae4b04b350fcdeef5",NA
"56d8348ae4b04b350fcdeef7","Bulk Carrier"
"56d8348ae4b04b350fcdeefa",NA
"56d8348ae4b04b350fcdeefd",NA
"56d8348ae4b04b350fcdeeff","Tug"
"56d8348ae4b04b350fcdef07","Container Vessel"
"56d8348ae4b0550004876b81","Oil Tanker"
"56d8348ae4b0550004876b83","Bulk Carrier"
"56d8348ae4b0550004876b88","Oil Tanker"
"56d8348ae4b0550004876b8b","Bulk Carrier"
"56d8348ae4b0550004876b8c","Container Vessel"
"56d8348ae4b0581dc93c9216","Oil Tanker"
"56d8348ae4b0581dc93c9217","Bulk Carrier"
"56d8348ae4b0581dc93c921e","Bulk Carrier"
"56d8348ae4b0581dc93c9222",NA
"56d8348ae4b0581dc93c922a","Bulk Carrier"
"56d8348ae4b0581dc93c922d",NA
"56d8348ae4b05b8c70fda088","Bulk Carrier"
"56d8348ae4b05d1780ce8cca","Oil Tanker"
"56d8348ae4b05d1780ce8ccd","Fishing Vessel"
"56d8348ae4b05d1780ce8cd4","Bulk Carrier"
"56d8348ae4b05d1780ce8cd7","Tug"
"56d8348ae4b05d1780ce8cd8","Oil Tanker"
"56d8348ae4b05d1780ce8cdb","Bulk Carrier"
"56d8348ae4b07096ffb1f077","Bulk Carrier"
"56d8348ae4b07096ffb1f07b","Bulk Carrier"
"56d8348ae4b07096ffb1f07d","Bulk Carrier"
"56d8348ae4b07096ffb1f07e","Bulk Carrier"
"56d8348ae4b07096ffb1f081","Oil Tanker"
"56d8348ae4b07096ffb1f083","Oil Tanker"
"56d8348ae4b076ffee46a9c6",NA
"56d8348ae4b088d8eaae28db","Bulk Carrier"
"56d8348ae4b08a253162a8c0",NA
"56d8348ae4b098a28bab8b26","Reefer"
"56d8348ae4b098a28bab8b28",NA
"56d8348ae4b0ad1bfa260980","Tug"
"56d8348ae4b0ad1bfa260984","Bulk Carrier"
"56d8348ae4b0ad1bfa26098b","Tug"
"56d8348ae4b0ad1bfa26098d","Oil Tanker"
"56d8348ae4b0ad1bfa26098e","Container Vessel"
"56d8348ae4b0ad1bfa26098f","Bulk Carrier"
"56d8348ae4b0ad1bfa260991","Bulk Carrier"
"56d8348ae4b0b1c94f7bde02","Tug"
"56d8348ae4b0b1c94f7bde03",NA
"56d8348ae4b0b1c94f7bde05",NA
"56d8348ae4b0b1c94f7bde06","Bulk Carrier"
"56d8348ae4b0b2a61c63a8cc","Fishing Vessel"
"56d8348ae4b0b90a07511a15","Oil Tanker"
"56d8348ae4b0b90a07511a16",NA
"56d8348ae4b0b90a07511a1a","Tug"
"56d8348ae4b0b90a07511a1c","Container Vessel"
"56d8348ae4b0b90a07511a1e",NA
"56d8348ae4b0b90a07511a20","Bulk Carrier"
"56d8348ae4b0b90a07511a21",NA
"56d8348ae4b0b90a07511a22","Fishing Vessel"
"56d8348ae4b0b90a07511a24","Passenger Vessel"
"56d8348ae4b0b90a07511a25","Container Vessel"
"56d8348ae4b0b90a07511a27","Oil Tanker"
"56d8348ae4b0b90a07511a28","Bulk Carrier"
"56d8348ae4b0b90a07511a29","Bulk Carrier"
"56d8348ae4b0c1caecc873bd",NA
"56d8348ae4b0c1caecc873be","Bulk Carrier"
"56d8348ae4b0c8d95c300912","Bulk Carrier"
"56d8348ae4b0c8d95c300916",NA
"56d8348ae4b0c8d95c30091a","Container Vessel"
"56d8348ae4b0c8d95c30091c","Oil Tanker"
"56d8348ae4b0c8d95c30091d",NA
"56d8348ae4b0c8d95c30091e","Bulk Carrier"
"56d8348ae4b0c8d95c300921","Tug"
"56d8348ae4b0c8d95c300922","Reefer"
"56d8348ae4b0c8d95c300927","Container Vessel"
"56d8348ae4b0c8d95c30092c",NA
"56d8348ae4b0c8d95c30092d","Oil Tanker"
"56d8348ae4b0d38e4536eb48","Bulk Carrier"
"56d8348ae4b0d38e4536eb49","Tug"
"56d8348ae4b0d38e4536eb4a","Bulk Carrier"
"56d8348ae4b0d38e4536eb4d","Tug"
"56d8348ae4b0d38e4536eb52","Bulk Carrier"
"56d8348ae4b0d38e4536eb54","Tug"
"56d8348ae4b0d38e4536eb55",NA
"56d8348ae4b0d38e4536eb58","Oil Tanker"
"56d8348ae4b0d38e4536eb5b","Bulk Carrier"
"56d8348ae4b0d38e4536eb5d","Fishing Vessel"
"56d8348ae4b0d38e4536eb65","Bulk Carrier"
"56d8348ae4b0d38e4536eb66","Bulk Carrier"
"56d8348ae4b0d38e4536eb67",NA
"56d8348ae4b0d38e4536eb69","Bulk Carrier"
"56d8348ae4b0d38e4536eb6b",NA
"56d8348ae4b0d51bec82d985","Bulk Carrier"
"56d8348ae4b0d51bec82d987","Oil Tanker"
"56d8348ae4b0d51bec82d98b","Container Vessel"
"56d8348ae4b0d51bec82d98d",NA
"56d8348ae4b0d51bec82d990","Container Vessel"
"56d8348ae4b0d51bec82d993","Container Vessel"
"56d8348ae4b0d51bec82d994","Passenger Vessel"
"56d8348ae4b0d51bec82d997",NA
"56d8348ae4b0d51bec82d99b","Bulk Carrier"
"56d8348ae4b0d51bec82d99c","Container Vessel"
"56d8348ae4b0d51bec82d9a0",NA
"56d8348ae4b0d51bec82d9a2","Passenger Vessel"
"56d8348ae4b0dd79418008dd","Reefer"
"56d8348ae4b0dd79418008df","Bulk Carrier"
"56d8348ae4b0dd79418008e1",NA
"56d8348ae4b0dd79418008e2","Bulk Carrier"
"56d8348ae4b0dd79418008e7",NA
"56d8348ae4b0dd79418008f3","Reefer"
"56d8348ae4b0e0f437f37e8b","Reefer"
"56d8348ae4b0e0f437f37e8d",NA
"56d8348ae4b0e0f437f37e8e",NA
"56d8348ae4b0e0f437f37e8f",NA
"56d8348ae4b0e0f437f37e9b","Oil Tanker"
"56d8348ae4b0e0f437f37e9e",NA
"56d8348ae4b0e0f437f37ea4","Fishing Vessel"
"56d8348ae4b0e0f437f37ea7",NA
"56d8348ae4b0e80e4c3be57b","Container Vessel"
"56d8348ae4b0e80e4c3be581","Bulk Carrier"
"56d8348ae4b0e85416b97079","Fishing Vessel"
"56d8348ae4b0e85416b9707b","Bulk Carrier"
"56d8348ae4b0fea4c4b031de","Bulk Carrier"
"56d8348ae4b0fea4c4b031df","Container Vessel"
"56d8348be4b00146513f8f15","Bulk Carrier"
"56d8348be4b00146513f8f16","Reefer"
"56d8348be4b00146513f8f18","Fishing Vessel"
"56d8348be4b00146513f8f1b","Bulk Carrier"
"56d8348be4b00146513f8f21",NA
"56d8348be4b00146513f8f26","Oil Tanker"
"56d8348be4b00146513f8f27","Tug"
"56d8348be4b00146513f8f29",NA
"56d8348be4b00146513f8f2c","Oil Tanker"
"56d8348be4b00146513f8f2f",NA
"56d8348be4b00146513f8f30","Bulk Carrier"
"56d8348be4b00146513f8f3a","Fishing Vessel"
"56d8348be4b00146513f8f3b","Container Vessel"
"56d8348be4b00146513f8f42",NA
"56d8348be4b00146513f8f44",NA
"56d8348be4b00146513f8f45","Bulk Carrier"
"56d8348be4b00146513f8f46","Bulk Carrier"
"56d8348be4b001f4293429cf","Tug"
"56d8348be4b001f4293429d6","Bulk Carrier"
"56d8348be4b001f4293429d7","Bulk Carrier"
"56d8348be4b002eabab57eba","Oil Tanker"
"56d8348be4b002eabab57ebf","Passenger Vessel"
"56d8348be4b002eabab57ec8","Bulk Carrier"
"56d8348be4b002eabab57eca",NA
"56d8348be4b002eabab57ece","Container Vessel"
"56d8348be4b002eabab57ed1",NA
"56d8348be4b002eabab57ed2","Bulk Carrier"
"56d8348be4b002eabab57ed4","Oil Tanker"
"56d8348be4b002eabab57edb","Tug"
"56d8348be4b002eabab57ee8",NA
"56d8348be4b002eabab57ee9","Bulk Carrier"
"56d8348be4b00da0b000f5b8",NA
"56d8348be4b00da0b000f5bf",NA
"56d8348be4b00da0b000f5c2","Fishing Vessel"
"56d8348be4b013a6a061f9e9","Passenger Vessel"
"56d8348be4b013a6a061f9eb","Container Vessel"
"56d8348be4b013a6a061f9ee","Fishing Vessel"
"56d8348be4b013a6a061f9ef","Fishing Vessel"
"56d8348be4b013a6a061f9f2","Bulk Carrier"
"56d8348be4b013a6a061f9f3","Container Vessel"
"56d8348be4b013a6a061f9f8",NA
"56d8348be4b013a6a061f9fb","Bulk Carrier"
"56d8348be4b013a6a061fa01","Passenger Vessel"
"56d8348be4b013a6a061fa04","Passenger Vessel"
"56d8348be4b013a6a061fa06","Container Vessel"
"56d8348be4b013a6a061fa09","Bulk Carrier"
"56d8348be4b013a6a061fa0b","Bulk Carrier"
"56d8348be4b013a6a061fa0d",NA
"56d8348be4b013a6a061fa0f","Oil Tanker"
"56d8348be4b013a6a061fa10","Bulk Carrier"
"56d8348be4b013a6a061fa11","Bulk Carrier"
"56d8348be4b013a6a061fa12","Container Vessel"
"56d8348be4b013a6a061fa13","Tug"
"56d8348be4b013a6a061fa15","Bulk Carrier"
"56d8348be4b013a6a061fa17","Container Vessel"
"56d8348be4b0191ec59e7feb","Container Vessel"
"56d8348be4b0191ec59e7fec",NA
"56d8348be4b0191ec59e7fed","Bulk Carrier"
"56d8348be4b0191ec59e7fee","Bulk Carrier"
"56d8348be4b0191ec59e7fef","Container Vessel"
"56d8348be4b0191ec59e7ff5","Fishing Vessel"
"56d8348be4b0191ec59e7ff6","Bulk Carrier"
"56d8348be4b0191ec59e7ff7",NA
"56d8348be4b0191ec59e7ffa","Oil Tanker"
"56d8348be4b0191ec59e8001","Bulk Carrier"
"56d8348be4b0191ec59e8002","Bulk Carrier"
"56d8348be4b0191ec59e8005","Oil Tanker"
"56d8348be4b01b88a1e19b48",NA
"56d8348be4b01c7098934f70","Passenger Vessel"
"56d8348be4b01c7098934f73",NA
"56d8348be4b01c7098934f75","Oil Tanker"
"56d8348be4b01c7098934f77",NA
"56d8348be4b01c7098934f78",NA
"56d8348be4b01c7098934f7d",NA
"56d8348be4b01c7098934f7f","Container Vessel"
"56d8348be4b01c7098934f86","Container Vessel"
"56d8348be4b01c7098934f88","Bulk Carrier"
"56d8348be4b01c7098934f89","Oil Tanker"
"56d8348be4b01c7098934f8a",NA
